handicap,AGE,military,nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Yes,85,Yes,Brazil,E,B,-14.019200814121998,B,C,59.12580753395393,-13.152328735673088,-38.391800124817074,E,D,0
Physical,52,Veteran,Brazil,D,B,151.4419561455764,E,D,-23.37870330328021,141.2861981548636,-44.22091386779499,B,D,1
None,69,Yes,UK,D,D,204.6322350375502,E,E,5.349856448191342,188.96438278889644,113.08767631948898,A,D,1
Mental,45,Yes,Brazil,B,D,-33.901311503897965,E,B,42.96810346220606,42.10557201699693,-12.64534364236217,D,E,1
Both,92,Yes,UK,C,C,-59.503420526228545,C,D,8.703524829936244,-10.730548581338343,-145.41090575157241,D,E,0
Yes,31,Yes,Brazil,E,D,64.6708584900946,A,D,16.79377328876037,-43.07477701294638,6.027238419923199,C,D,1
Mental,21,No,Mexico,D,A,86.75868900959115,C,E,-201.22509731522084,12.309543019236175,125.37869275754238,A,C,1
Yes,58,Veteran,China,B,D,83.3027829565803,A,E,162.20186321897106,117.97523774672037,61.05068971233904,B,C,1
Yes,43,Non-Veteran,Germany,D,C,19.58925058341435,C,D,63.55223928209559,-35.72830319758009,137.8826540145961,A,C,0
Yes,36,Yes,Brazil,E,B,32.02920014266138,E,B,122.463535491195,-188.00891827817225,0.8222083592823065,E,E,1
Mental,91,Veteran,Mexico,B,E,18.837199315471366,E,C,-69.26670031123224,81.40716491811615,-12.008897031204972,A,D,1
None,42,Yes,Germany,D,B,53.766790343056414,D,D,32.84565496016857,36.67869212811689,-97.82934341113805,D,E,0
Physical,52,Veteran,India,B,B,-157.16359358298064,C,C,-21.839155323848207,210.2234658587891,93.75524214076313,C,B,1
Physical,21,Non-Veteran,UK,E,E,-87.07732542408615,B,C,-111.09145992432046,-67.36857534630445,-122.12101796040822,C,C,0
Yes,48,Yes,India,E,E,76.36785227316719,C,C,13.117680804465422,167.98005939477545,-90.9992567118048,A,D,0
No,25,Non-Veteran,US,B,D,214.09602559988144,E,C,26.248998130991495,-86.98448509308943,69.4149868026323,B,A,0
None,99,Non-Veteran,China,A,C,-94.18038745227841,A,E,-7.4259359869039265,-111.26668464737084,65.16393845284925,C,D,0
None,77,Yes,Other,E,C,16.440661631704234,A,D,70.34940856619671,150.6058532243052,-93.26854500030962,C,E,1
Both,70,Yes,Other,D,A,-210.68242466144622,A,E,-73.94251371220454,-87.32470401386745,129.62892141484727,D,E,0
Mental,53,No,US,B,D,26.562753818803237,B,E,8.473668106199048,-82.92740889663625,-1.8483519144797536,A,D,0
No,70,Non-Veteran,Other,B,E,-37.06239660677883,B,C,-108.82787012042732,-92.60715951804389,-29.695772865600574,E,E,0
Physical,54,No,Mexico,D,C,64.49171645962475,C,B,1.2729945961837483,83.14310040497368,65.0367589123468,E,A,0
Mental,60,Veteran,Mexico,A,C,47.515923245803485,E,A,147.20187513140112,174.0435960846237,-6.0533791851563965,B,B,1
Both,60,Yes,Germany,E,D,71.22627087691738,C,A,158.81293158881684,-77.38222087763037,-21.807499340461295,E,D,0
Mental,70,Non-Veteran,China,C,D,-11.129229536997155,D,D,-108.62122788535544,-56.656499098972354,60.16052336062604,D,A,0
Mental,57,Yes,US,C,B,-24.13589924660161,D,E,53.053409858627035,-63.04612512797515,98.86891880998556,E,E,1
Yes,61,No,India,E,C,79.51792055617763,A,A,26.92285101012377,-72.44659378606741,87.64213132387496,E,C,0
Both,89,Veteran,India,B,B,-37.214663442938225,B,D,-35.62327084501738,-93.15442024275072,-270.7867761749117,A,C,0
Both,88,Veteran,Other,A,C,-118.63994885657144,D,D,-49.11867784297004,142.23589512171358,-78.35605399582973,C,A,1
No,25,No,India,A,D,-128.39306365438864,E,A,-63.43195326751776,-54.871370800076406,29.128395863698707,B,C,1
None,67,Non-Veteran,UK,E,D,-121.1191594935218,A,C,138.61532231425005,56.78506637271894,-177.28396612114608,B,D,0
No,70,Yes,US,A,C,244.23004662962867,A,E,-19.83181661712006,-22.210468300786758,-134.29561097596172,A,A,1
Physical,36,No,Germany,C,B,-32.471548558615275,E,C,25.27452765178096,48.22145419217165,230.7498865484647,E,B,1
Mental,88,Veteran,UK,C,E,-24.75434481003434,B,D,-8.376226304856162,-4.739293215240018,-233.08322091946633,D,D,0
No,51,Non-Veteran,India,A,B,-76.7453885508705,C,E,-172.47464191860533,105.27704082989833,-33.43322028805892,D,B,1
Both,23,Veteran,US,D,A,7.290990094043679,B,E,-80.12921109560884,-58.07926054714828,-56.00976294644524,D,A,0
None,30,Yes,Germany,B,A,194.23278866593813,C,C,51.15788960310582,-137.5588964600969,17.328518792481884,B,C,0
Both,94,Non-Veteran,Germany,A,D,34.653534988697245,D,C,-3.9188036160160227,-97.61451257776794,-75.83667621808962,E,C,1
No,66,Non-Veteran,Other,A,D,-114.43267454898138,C,B,-10.470745860597788,-143.07774689357612,-175.86564008609872,A,E,1
None,61,Veteran,Brazil,D,E,-59.335357416600544,D,D,59.267083851167214,82.8880068142051,-80.7962087020349,B,A,0
Physical,97,Yes,US,E,C,73.79597373380118,C,B,-76.58775974501492,-73.17202223632623,-213.34773176785657,A,E,1
Both,81,Non-Veteran,Other,C,A,-170.9891959041789,C,A,48.17810917370113,0.34603068259599024,-10.14460135999039,A,E,1
Mental,60,Yes,China,D,A,51.39224700351961,A,B,-106.19289180082971,42.72137185720742,-91.97254228172372,C,D,1
Both,18,Veteran,Mexico,A,A,147.0190263954154,A,A,-129.83878303038458,84.90307766846479,-74.36780559203508,B,B,1
No,48,Veteran,US,A,D,-58.27987216788879,D,B,49.052851394471055,-23.92323764166277,68.99205807042004,B,C,0
None,69,No,UK,C,C,-5.786652673810123,B,B,-84.35733115982427,95.01207746259746,31.600655934877096,D,B,0
Both,42,Non-Veteran,India,E,E,37.70985145843124,C,C,-69.12763520264407,-9.41237519568477,48.18908803349844,A,D,1
None,40,Yes,Brazil,A,C,23.250991715179897,E,B,139.1820224943325,-131.03471327310626,72.20192150904393,E,E,1
Yes,70,No,US,A,C,-86.44820996620156,D,C,-40.46794652766872,183.19535030003405,67.2852742564554,C,A,1
Yes,22,No,India,D,D,-30.807920007841684,C,D,-94.10665818305216,22.18317215775935,0.9073133366438274,C,E,1
Physical,21,No,India,B,B,-53.0533017986211,A,C,44.58455740340193,58.58551076082637,28.345025739819345,A,C,0
Yes,50,Yes,Other,C,D,-110.69581453474527,C,B,127.79536768372883,-48.959252771164806,24.38238360257212,A,C,0
No,91,No,Germany,D,D,-99.99296848673225,A,C,136.5176806160515,-88.53517680449973,-145.712563807479,A,B,0
None,22,Yes,UK,D,E,7.913326071831812,E,D,191.9521757354491,54.667256306468595,12.1493016760927,A,C,0
Physical,83,Non-Veteran,China,A,E,-70.38812582118216,B,A,42.9736880647718,-78.14530293555376,-117.51825046042521,E,E,1
No,55,Yes,Brazil,A,D,150.91635899712566,A,C,-33.88594456681873,91.08422821881467,-0.31996233876244745,C,C,0
Mental,56,Veteran,China,D,A,-14.391501834395228,A,B,-100.86462844426829,-27.293618362880217,-218.64745260961755,E,D,1
Both,64,Non-Veteran,UK,D,D,-22.430978172859408,D,D,46.091762215924845,-25.530858511704768,-22.176787378814875,D,C,1
Physical,39,No,Brazil,C,E,70.04869125577811,E,A,-62.07606356329336,-177.54837877936038,45.048034588597396,C,D,0
Physical,71,Veteran,Other,D,C,-51.26830955032279,E,E,223.94111098424392,183.37692100840377,46.6422841786943,A,C,1
Mental,98,No,China,C,B,165.36219845110222,E,D,3.12613709235084,30.246078332957378,3.4047418370139804,A,E,1
Both,59,Veteran,UK,B,C,-20.44948930598066,E,B,24.196072134676395,-172.3935559896531,-114.15896720089648,E,A,1
Mental,35,Non-Veteran,US,C,D,149.8661098105154,D,E,145.2289902983098,-97.34194195320573,-18.903578342844945,B,D,0
None,18,No,India,A,E,-65.47157088634735,A,D,-66.76957014168352,30.769391061990948,-40.39893155202134,C,E,0
Mental,89,Veteran,Other,B,A,131.6225266641714,A,B,-15.270873992282718,-46.555799939738094,-68.90123907505823,B,B,1
Physical,41,No,India,E,A,30.845531586103085,D,C,-13.101715778081784,-143.2697297236121,-64.52821913392839,C,D,0
Physical,71,Yes,UK,E,C,-79.77087710655385,E,E,82.98942722801532,-9.394687647664716,-127.30084990566522,E,E,0
No,78,Non-Veteran,UK,C,A,-67.79825393585308,E,C,71.24305321321727,-130.01174788782527,63.702539273051094,E,A,1
Physical,99,Non-Veteran,UK,D,E,-126.78999787817445,E,B,77.25170821251277,-40.99667502058951,7.356656653610203,B,D,1
Physical,32,No,Mexico,C,E,100.31140859384737,C,B,45.39100513698445,137.9082805400961,-53.325705863953196,A,E,0
Mental,55,Veteran,India,A,C,-162.45260927581785,E,D,221.0303425632466,151.99172838444548,50.25928013301486,C,E,0
Both,24,Veteran,Other,D,D,-154.76217760387428,A,B,172.26630644906135,-69.83456473737971,-153.75292760523158,D,A,1
Physical,84,No,Mexico,E,D,-225.98706010645958,D,A,-35.47579289219607,-75.49577469812975,37.675044278010134,D,A,1
Both,45,No,Other,B,E,63.64749937103391,C,A,-93.15104827485395,0.6336451000018357,-91.28374759579718,D,E,0
No,90,Yes,Other,C,C,-42.514479306362745,A,D,-84.90212490121432,-153.9451280043345,166.81073523554593,A,D,1
No,18,Veteran,US,C,B,-71.44162242418852,C,E,-107.32417731557024,-95.43895846532367,18.85235829889075,A,E,0
Yes,52,Non-Veteran,Other,B,C,16.264696217370282,B,A,-141.99172220402875,-48.4816088085927,46.40072219427804,C,B,0
Mental,67,Veteran,Mexico,B,C,-80.64027503702641,B,C,-136.97909722364153,-63.79469183920552,5.657248187839263,A,E,1
No,48,Veteran,India,E,B,99.77279377882607,C,D,-17.279420814314093,-4.010002915535403,189.07790179819293,C,A,0
None,26,Non-Veteran,US,A,C,-109.01095288436098,C,B,-239.27044543846466,-133.14178328752485,-1.7116061963554634,D,D,0
No,87,No,Mexico,C,E,164.11134731966575,B,D,79.51548744782079,82.8229784324921,-97.13280290482388,B,A,1
Yes,64,Yes,US,A,E,-56.714042428965186,E,B,7.995858719409779,194.12510732705158,-144.68372544547393,B,B,1
Both,64,Veteran,Germany,B,A,161.74315172451466,C,D,-18.429128257484603,-197.7328435902874,-55.54043638579243,E,C,0
Yes,59,Non-Veteran,China,C,D,-30.194401061012982,E,C,-50.16006858115285,224.25289247905758,28.172137715987212,A,C,1
Mental,97,No,Brazil,E,D,-191.57577307318152,A,C,-61.65941180080019,-242.78111054194378,-107.074200825964,C,A,0
Yes,80,Non-Veteran,US,E,A,-49.47031119482005,C,B,119.37669556120898,53.97286379696013,98.53693194158828,D,D,0
None,34,Non-Veteran,Other,E,E,-154.9023564214975,C,B,62.850680996797614,3.84567061633903,-112.85676588015914,C,A,0
Physical,97,Yes,UK,A,A,-61.28465091854418,D,A,-19.93200215014602,-54.475387645008134,134.8065586831436,B,E,1
Yes,85,Yes,Brazil,A,D,67.90636318164104,B,D,-63.06007728026386,187.0090300840347,-109.91953847341331,B,E,1
None,38,Veteran,Other,C,C,-197.39836422693597,D,D,11.03853026665029,-96.7946364015854,129.4865933237271,D,B,1
None,57,Veteran,US,E,D,-102.01505012942624,D,B,46.67263667884381,62.2041297134,-86.20639263382684,A,C,1
No,46,Non-Veteran,China,A,C,-61.655332909498064,C,D,-85.99177692703735,141.88081768293821,-152.8608975426978,C,D,0
Yes,25,No,Other,D,E,23.271078796953717,D,B,26.984024769559277,-60.31360504623684,-16.291727301034488,A,C,1
Both,53,Non-Veteran,UK,B,E,8.647507741519044,D,E,44.5340355010693,241.62621284110693,32.68662080073616,B,E,0
Physical,80,Non-Veteran,India,E,D,-72.55473318444936,B,D,203.3753076564851,-78.85578118709789,33.06419689790849,A,B,1
No,42,Yes,Brazil,E,D,113.08150470418758,E,B,-41.62071181664167,10.968503418698198,-123.99139594740281,A,C,1
No,74,Yes,Brazil,B,D,-201.26035628168006,E,A,6.035651155455184,69.07895568344507,-124.41884405962642,E,B,1
Yes,78,No,Germany,B,A,-104.18306255696169,D,A,-153.06520907871027,67.03031631950367,-9.52124396534274,C,D,0
Physical,79,Veteran,US,E,C,-141.88483939918547,E,B,157.54180352401696,-20.003093233648535,-101.39691745858657,C,B,1
None,81,Yes,Germany,B,D,23.40552186766586,D,E,-32.27944676545025,2.628828610242443,-93.04699545280363,C,B,1
Both,93,Yes,India,E,B,-242.9577624897492,A,C,-160.97283024531012,-48.20422276003743,-5.74173677483779,C,D,0
Yes,38,Yes,India,C,C,-90.9439501437159,E,D,-159.81427665103058,-137.63531933742843,-43.83770942472921,B,C,1
Both,64,Yes,Mexico,D,D,133.67048936303166,C,C,-114.29983520149926,74.50464207758917,69.92424556235258,C,D,0
Yes,61,Non-Veteran,Brazil,A,A,-82.78547227536099,D,C,66.89907815777755,108.9660788194762,51.4300654417501,B,C,0
Mental,85,No,UK,C,A,129.67343932501726,C,D,11.759796151614971,120.89466994788091,3.5450549387317376,A,E,0
None,54,Yes,Mexico,C,C,-107.91912874960765,E,B,-40.47452543951779,4.98601882055933,-153.372484239813,A,C,0
No,36,Yes,India,E,A,34.18309909506815,E,D,13.897668179635922,76.42908617082908,-18.040653502471283,A,C,1
Mental,61,Yes,Mexico,D,C,8.92649383227589,C,C,3.064384642725979,84.23379714780287,96.26808454399345,C,C,0
Physical,54,Yes,Mexico,C,C,-128.96752411631815,E,A,-22.47514392677017,-85.49453247519666,-37.52964337924664,C,B,1
Physical,35,Non-Veteran,China,D,B,17.884082067989517,D,C,97.04393086513707,198.22042458716672,-142.8294044022063,C,E,0
Physical,89,No,Brazil,A,C,35.87376473096594,C,D,-184.68065619919435,-155.78219098741945,-47.84231258357489,B,D,0
Physical,59,No,Germany,B,B,-83.13629899703217,C,C,-75.84752615427583,54.522115549898295,38.47037214832045,D,B,1
Yes,60,No,UK,D,E,-48.75437848056321,C,D,-61.4427309935142,92.60486658802517,-34.4460789596281,E,C,0
Both,83,Yes,Brazil,D,E,-47.59363714338799,A,E,114.60001276988348,55.729513426565305,-58.462724018505206,E,E,0
Physical,38,Yes,India,D,A,33.34307484100732,D,D,73.5354205339818,-12.32519321464774,-41.075067236508964,E,D,1
Physical,80,Yes,UK,C,B,-32.86267076443969,C,A,10.338723288512979,115.20854473644397,-118.751110489446,E,E,1
Mental,84,Non-Veteran,Other,D,D,-17.760892975034757,E,C,-191.84780733471825,222.0887911315188,6.546031770556359,E,D,1
Yes,80,Yes,Other,B,B,-27.419351184390823,A,A,66.87453889982443,25.708057527165607,-91.7865059802748,E,A,0
Physical,78,No,Mexico,B,A,53.26904102341101,B,D,-121.42010784900154,149.06830955555546,68.88755304148998,E,D,1
Physical,97,Yes,UK,D,C,-32.76637765092598,D,D,-179.2282919595518,-54.31653203358723,175.99635856466176,A,E,0
None,49,No,India,D,B,-37.98332140725715,E,C,-127.23813291112909,11.03117814550533,22.827606023382266,B,C,0
Physical,93,Yes,Mexico,C,D,21.58968566803054,C,A,85.59726056588643,168.1932757578054,195.63875816841085,C,E,1
Yes,26,Yes,Mexico,D,E,76.42202444194528,A,E,131.74101025630293,77.96545772626486,87.76816424378181,A,C,0
No,83,Non-Veteran,US,D,A,83.94811750177209,C,C,93.5359739159579,-1.8658282519915657,114.96061047587887,D,B,1
None,59,Veteran,India,C,B,18.131335012628185,D,C,37.59457390178195,-173.20490827126406,182.6332907112559,E,A,0
Both,23,Non-Veteran,Germany,A,B,-61.146959361193765,C,B,-28.60898968662099,-113.6280539828838,-7.070194135097017,B,D,1
None,91,Veteran,Brazil,E,D,58.428390053501424,E,C,98.47829378845701,21.59511686628448,64.16570766910354,B,C,1
No,26,No,Mexico,D,A,-46.69465817831341,A,E,-119.79531770257468,24.685399975682603,52.6900284113627,D,C,0
Both,84,No,Germany,D,D,30.572645091329193,C,B,78.67802793037191,102.63420566851087,-130.6731930380713,B,C,0
None,58,Veteran,US,A,C,-5.582803640166205,B,C,44.44797533043137,77.53270790755462,53.82880573297677,D,A,0
None,29,Yes,US,A,C,6.685388651429412,E,C,91.4500453608941,-23.97431465630784,-35.6878530936703,B,D,1
Mental,29,No,China,B,D,-21.414363524011303,B,E,-9.44667730892872,-105.76751274390222,-194.26824797551333,B,B,1
No,70,Veteran,Brazil,C,E,-1.307392468372221,C,B,-13.293082291082195,-192.89879461910056,124.29085897522816,B,C,1
None,77,Yes,Other,C,D,82.84907392951337,B,C,-34.78894947842498,8.62679580245231,115.09123148473428,B,A,1
Physical,89,Non-Veteran,Brazil,A,B,68.15699097707395,C,E,107.02952519772833,175.69520614861264,-76.83049502878264,C,C,1
No,61,Yes,China,C,E,-9.570232545307675,C,C,-37.999714876274375,-123.18144247568696,-134.94943889386587,E,C,1
Mental,21,Non-Veteran,Germany,B,B,-62.3349438617881,E,C,-17.415370219775024,237.06744686465697,179.87856337254604,C,D,1
Both,43,Non-Veteran,Other,B,E,-15.168366451588833,C,D,-44.0248897224873,2.6172089010971313,-99.36700023414787,D,B,0
Physical,79,Yes,Mexico,D,B,70.92433673172862,D,E,22.639252986213,29.821228170539765,72.29039924802547,D,D,0
Yes,95,Yes,UK,C,E,45.78887432464329,C,E,78.90885917337305,0.7961717104135865,-53.16934200646798,A,D,1
Physical,86,No,Brazil,C,D,-207.80654053624167,A,C,-150.6027442349391,27.778938456163438,0.9331696755196347,E,D,0
Mental,41,Veteran,US,D,C,-65.25256566850882,D,B,43.668688096369394,6.296139560715668,-104.87847822601022,E,A,0
Both,38,Non-Veteran,Brazil,A,C,-43.362936115700734,A,C,-294.98424363826945,65.49861153931218,82.47062598854285,C,E,0
Physical,51,Yes,China,B,A,22.180779612245576,D,C,142.03389037703198,33.50475296814227,39.04841629720008,B,D,1
Yes,35,Non-Veteran,Germany,C,C,-72.0627528086252,D,C,-40.82817958905845,0.918700372592267,-135.22474236904574,C,A,0
Mental,35,Veteran,UK,C,B,-21.316643240843568,B,D,142.1498579758349,160.10396746107475,5.480254556557078,C,B,1
Physical,86,No,Brazil,C,A,-129.5624694660312,A,E,-71.26708801669864,-42.840782049183176,-2.699540953009999,B,B,0
No,93,No,US,A,E,-74.11788738223791,B,C,-17.429424104016107,22.750356993577387,-107.37526723957738,D,B,0
Mental,77,Yes,US,D,D,-17.922859969124858,A,A,56.14160473655391,132.80568261473755,222.60718550138301,C,D,0
Both,44,No,US,D,E,-74.11096354597387,A,D,35.27880354170923,-152.801772721104,-24.522958399075005,E,E,0
No,60,Veteran,Mexico,A,D,92.87211001576028,D,C,83.48898604272787,-175.23399646498885,-112.08573394916488,C,E,0
None,80,No,India,E,E,-38.68674783480337,B,C,-40.585076081502706,-17.985475274012348,171.99277699094515,A,D,1
Both,53,Yes,Mexico,D,B,75.3118683043215,B,A,-42.76016497614068,159.12194352573513,-38.29215470470103,B,E,1
Physical,33,Veteran,Other,D,B,7.951813166033249,A,E,-17.86396996167522,103.39715464714918,128.59013823202335,D,B,0
Mental,63,No,India,E,B,-1.351677513888651,B,A,-81.76900653088164,19.033817671983027,29.99860555273558,E,A,1
Physical,55,Yes,Germany,C,C,117.98145486642488,E,B,-281.5948349468881,-46.95297487170933,106.06802205996063,E,D,0
No,70,Yes,Mexico,C,B,124.5314794670904,E,C,-83.93327294041441,-31.949242754835712,-9.434151787013532,D,B,0
Yes,59,Veteran,US,B,D,-76.14498108161555,A,C,-65.77874218681329,-91.2507556630118,-142.58863075439797,C,D,0
None,35,Veteran,India,D,D,-60.656316107627006,A,A,-197.82019540321363,-4.1720105507506675,127.88918095463579,A,B,1
Physical,64,Non-Veteran,Germany,C,E,-94.62856716114962,D,B,137.51589461217043,32.4371512202298,65.19717053901421,C,E,1
Yes,71,Non-Veteran,Mexico,D,A,-23.3423619426937,A,E,67.64293085880769,-148.06828912339938,-103.24078338173304,E,D,1
Physical,20,No,Germany,A,B,-23.202075855139377,C,E,-72.77924843197722,23.425625994167085,-5.551687760903835,E,C,0
Mental,92,Non-Veteran,China,A,C,194.09409091108137,C,C,44.5886551870898,-46.579612488667976,-67.26869950595872,D,B,1
No,26,Yes,China,A,E,-79.17349389467482,B,D,32.50668734577914,43.8441542102022,-103.02603356190092,C,C,0
Physical,78,Yes,Brazil,C,E,26.219840652182665,A,B,-35.52204376391587,-30.94680766468027,112.93255054113776,D,E,0
No,98,Non-Veteran,China,D,C,18.38053671938138,C,D,104.88234202110453,-37.431979756107616,88.85702439370891,B,C,0
Physical,41,No,US,E,B,-25.302888351280373,C,B,132.14431392643817,30.682159758782085,-8.901818764607215,E,B,0
None,62,Non-Veteran,India,A,A,17.434218433771456,E,B,-111.64514930537064,10.500648923820645,120.14872471233258,D,A,1
Both,48,Veteran,UK,C,C,2.744684496871249,D,D,-239.40183816583067,-64.48571262926708,152.89045379283343,E,C,0
Mental,24,Yes,UK,C,E,-263.5319552711873,D,A,199.68072259964322,23.294882295851544,-124.3734210960808,E,A,0
Mental,63,No,Other,A,D,-60.335189036467206,E,B,46.306283924311636,-33.839258454469054,11.769666787924512,E,A,0
Yes,20,Non-Veteran,China,C,A,105.27917756874471,E,D,78.11941905774165,106.30212877053884,103.4977411973362,D,A,0
Yes,83,No,UK,B,A,-89.12710443223123,C,D,-55.6659025510441,36.80275922576512,-146.2010819213027,E,C,0
None,29,No,Mexico,A,D,-25.26214103592197,E,D,-38.51752406703755,-100.2561741814324,78.40197918951334,D,A,1
Both,37,Yes,India,D,D,73.2693708790654,C,B,39.909036909526755,153.46408609913124,-39.41451315752166,C,E,0
No,88,Non-Veteran,US,C,A,-39.93927561857222,C,C,-83.1094679826868,-91.3342873649501,6.502739946517319,A,A,0
No,64,Veteran,China,C,C,-27.355700968757763,A,A,-71.63339814323317,31.41225340713516,-44.61094325016307,B,E,0
No,64,No,Mexico,B,E,-62.155427695123755,D,C,78.72080404095499,11.867960860705937,170.87978713672896,E,D,1
Mental,75,Non-Veteran,India,A,C,5.627913165883098,A,C,-69.00867107624035,-16.464724456230474,36.37541641554315,A,B,1
Both,70,Non-Veteran,UK,A,D,58.94584580671774,D,C,184.10953481393554,-107.38733310434318,106.24038798331279,E,B,1
